type	latitude	longitude	altitude (m)	name
T	47.649675000	5.328101000	272.8	
T	47.644004000	5.330243000	258.3	
T	47.642511000	5.331952000	257.1	
T	47.631590000	5.334989000	251.0	
T	47.615143000	5.355256000	247.5	
T	47.603345000	5.375000000	246.0	
T	47.603154000	5.374807000	246.0	
T	47.588564000	5.387616000	240.9	
T	47.578167000	5.397461000	242.5	
T	47.578126000	5.397349000	243.6	
T	47.565291000	5.421022000	252.6	
T	47.564387000	5.421624000	252.1	
T	47.563723000	5.423966000	247.2	
T	47.561396000	5.422952000	249.0	
T	47.551768000	5.427004000	233.3	
T	47.542112000	5.427627000	233.6	
T	47.540793000	5.430890000	227.8	
T	47.539831000	5.430706000	227.8	
T	47.539628000	5.432686000	230.1	
T	47.540007000	5.434170000	227.0	
T	47.539927000	5.437013000	227.4	
T	47.542220000	5.437388000	224.0	
T	47.514298000	5.478153000	253.0	
T	47.513126000	5.479971000	254.6	
T	47.513070000	5.480587000	252.8	
T	47.486543000	5.491173000	212.0	
T	47.463625000	5.527923000	208.6	
T	47.461935000	5.527701000	198.9	
T	47.461692000	5.527189000	198.2	
T	47.461578000	5.526644000	198.8	
T	47.459203000	5.527069000	199.9	
T	47.459023000	5.527477000	202.4	
T	47.459082000	5.527868000	203.9	
T	47.425967000	5.531366000	200.0	
T	47.422847000	5.530972000	204.6	
T	47.420955000	5.530201000	195.9	
T	47.420429000	5.530476000	193.3	
T	47.394984000	5.545335000	187.1	
T	47.394633000	5.545266000	189.0	
T	47.394326000	5.545337000	193.6	
T	47.394749000	5.548473000	193.5	
T	47.394041000	5.550740000	204.6	
T	47.384622000	5.574813000	205.9	
T	47.384273000	5.577314000	196.6	
T	47.341097000	5.633902000	212.1	
T	47.339803000	5.635159000	222.2	
T	47.333808000	5.646680000	217.1	
T	47.310329000	5.658388000	261.0	
T	47.301433000	5.668338000	237.1	
T	47.297913000	5.667638000	215.7	
T	47.283691000	5.661251000	232.1	
T	47.265283000	5.640109000	198.6	
T	47.260823000	5.639793000	200.7	
T	47.240988000	5.666861000	214.1	
T	47.240838000	5.667314000	211.3	
T	47.225572000	5.676607000	229.5	
T	47.223546000	5.677429000	226.9	
T	47.223571000	5.679549000	222.3	
T	47.222795000	5.680263000	230.5	
T	47.217994000	5.681046000	219.5	
T	47.213757000	5.677156000	232.9	
T	47.207716000	5.683333000	263.8	
T	47.208286000	5.683449000	264.9	
T	47.202834000	5.687896000	294.5	
T	47.202005000	5.689329000	292.5	
T	47.201172000	5.688802000	292.3	
T	47.199813000	5.690028000	290.9	
T	47.197109000	5.693513000	278.8	
T	47.152692000	5.719608000	233.4	
T	47.152537000	5.721581000	238.7	
T	47.151103000	5.721498000	234.5	
T	47.151100000	5.721677000	233.9	
T	47.148739000	5.724558000	213.0	
T	47.147405000	5.723830000	213.8	
T	47.145050000	5.726682000	215.9	
T	47.144826000	5.726444000	216.4	
T	47.144040000	5.726919000	226.9	
T	47.134379000	5.728091000	255.3	
T	47.131688000	5.728939000	269.7	
T	47.124746000	5.729785000	245.5	
T	47.122635000	5.733487000	239.0	
T	47.096621000	5.743388000	261.9	
T	47.048350000	5.766983000	261.0	
T	47.046688000	5.760725000	261.1	
T	47.045965000	5.759774000	257.2	
T	47.037450000	5.764527000	235.6	
T	47.033913000	5.764838000	232.0	
T	47.030645000	5.775770000	234.0	
T	47.031351000	5.777785000	234.0	
T	47.030675000	5.778645000	233.4	
T	47.029132000	5.780388000	233.4	
T	47.027324000	5.781505000	231.9	
T	47.019181000	5.787136000	232.3	
T	47.018262000	5.786452000	234.0	
T	47.013998000	5.789113000	233.3	
T	47.010479000	5.790849000	242.0	
T	47.007380000	5.804811000	290.9	
T	47.005621000	5.807350000	323.1	
T	47.004899000	5.807579000	334.2	
T	47.001816000	5.820966000	252.1	
T	47.001253000	5.822404000	255.0	
T	46.998518000	5.822943000	255.3	
T	46.997685000	5.822583000	255.7	
T	46.995436000	5.822420000	251.2	
T	46.993317000	5.822133000	249.0	
T	46.987549000	5.822051000	256.9	
T	46.986885000	5.821879000	257.6	
T	46.979195000	5.820674000	273.2	
T	46.970743000	5.817595000	289.0	
T	46.968059000	5.819447000	298.1	
T	46.958716000	5.816486000	350.0	
T	46.952442000	5.819917000	360.9	
T	46.949842000	5.826509000	351.5	
T	46.949995000	5.832349000	335.0	
T	46.948997000	5.833641000	331.3	
T	46.936157000	5.838647000	366.5	
T	46.934438000	5.841974000	437.5	
T	46.929017000	5.834983000	539.6	
T	46.916004000	5.838845000	588.6	
T	46.916171000	5.839372000	589.4	
T	46.915478000	5.846132000	596.3	
T	46.911911000	5.854550000	604.0	
T	46.901939000	5.852968000	574.7	
T	46.892068000	5.869982000	625.7	
T	46.890633000	5.868968000	626.8	
T	46.888956000	5.865299000	613.3	
T	46.886847000	5.863866000	602.1	
T	46.855432000	5.842219000	603.3	
T	46.831414000	5.859926000	651.9	
T	46.831656000	5.861443000	659.2	
T	46.830474000	5.863631000	661.0	
T	46.829777000	5.864831000	655.7	
T	46.828336000	5.864372000	653.7	
T	46.827802000	5.864609000	653.6	
T	46.826599000	5.865203000	655.0	
T	46.825625000	5.864719000	649.5	
T	46.822227000	5.867262000	647.8	
T	46.797028000	5.870787000	637.8	
T	46.796417000	5.896265000	604.6	
T	46.789365000	5.898157000	589.7	
T	46.780475000	5.896034000	580.5	
T	46.780045000	5.896063000	582.2	
T	46.772731000	5.905333000	596.0	
T	46.762168000	5.905305000	552.9	
T	46.759562000	5.905729000	543.8	
T	46.758914000	5.906027000	544.0	
T	46.748460000	5.907330000	537.2	
T	46.746683000	5.907660000	531.9	
T	46.743306000	5.911056000	536.9	
T	46.742179000	5.911517000	525.0	
T	46.737343000	5.909456000	544.1	
T	46.731690000	5.910472000	522.9	
T	46.720596000	5.921985000	548.1	
T	46.717489000	5.923885000	558.0	
T	46.715144000	5.925767000	579.1	
T	46.670455000	5.938958000	635.0	
T	46.665368000	5.948882000	728.3	
T	46.655656000	5.945127000	714.5	
T	46.656070000	5.943100000	715.4	
T	46.632053000	5.947535000	752.8	
T	46.631217000	5.948430000	759.5	
T	46.621419000	5.960310000	815.8	
T	46.616804000	5.971193000	838.3	
T	46.615962000	5.970365000	831.9	
T	46.615157000	5.969958000	830.7	
T	46.610261000	5.967829000	822.8	
T	46.599164000	5.971872000	845.2	
T	46.587179000	5.982633000	867.8	
T	46.587763000	5.983837000	872.0	
T	46.581622000	5.986839000	916.0	
T	46.578999000	5.988347000	944.0	
T	46.577392000	5.985270000	927.6	
T	46.576182000	5.984743000	924.4	
